ReportedSource,ProductTier2Map,OperationalCategorizationTier2,CustomerSiteMap,SubmitHours24,Priority
Email,IntranetSO,Network,Site4,18,Medium
Phone,SecSoftware,Functionality,Site4,16,Medium
Email,IntranetDC2,Service,Site4,16,Medium
Email,IntranetHO,Service,Site4,15,High
Phone,Infrastructure,Functionality,Site4,15,Medium
Phone,Printer,Hardware,Site1,14,Medium
Phone,Printer,Service,Site5,14,Critical
Phone,Printer,Service,Site2,14,High
Phone,PCDesktop,Hardware,Site1,14,Medium
Phone,IntranetDC2,Functionality,Site1,14,High
Phone,ProcessingUnit,Functionality,Site5,14,Medium
Phone,Printer,Hardware,Site1,14,Medium
Phone,Infrastructure,Software,Site4,11,Medium
Email,AppIM,Service,Site1,11,Medium
Official Memo,Notebook,Hardware,Site2,11,Medium
Phone,Printer,Functionality,Site4,11,Medium
Phone,Printer,Service,Site4,10,Medium
Official Memo,IntranetHO,Service,Site1,10,High
Official Memo,ProcessingUnit,Service,Site5,10,High
Phone,PCDesktop,Hardware,Site4,10,Medium
Official Memo,IntranetDC1,Network,Site2,10,High
Phone,IPPhone,Telecommunication,Site4,9,Medium
Phone,Infrastructure,Functionality,Site4,9,Medium
Phone,AppIM,Functionality,Site1,9,Medium
Phone,Printer,Hardware,Site4,9,Medium
Email,AppIM,Account,Site30,9,Medium
Phone,IPPhone,Telecommunication,Site4,8,Medium
Phone,AppIM,Service,Site4,8,Critical
Phone,AppIM,Software,Site4,18,Medium
Phone,IntranetHO,Network,Site4,18,High
Email,IntranetHO,Network,Site4,17,Critical
Phone,AppIM,Service,Site4,18,Medium
Phone,Telecommunication,Functionality,Site4,17,Medium
Phone,Printer,Functionality,Site23,16,Medium
Phone,IntranetHO,Functionality,Site35,17,Medium
Phone,ProcessingUnit,Functionality,Site4,16,High
Phone,Printer,Hardware,Site2,15,Medium
Phone,SecSoftware,Functionality,Site1,15,Medium
Phone,IPPhone,Telecommunication,Site1,15,Critical
Email,IntranetHO,Network,Site4,14,High
Phone,Printer,Functionality,Site4,14,Critical
Phone,Infrastructure,Service,Site23,14,Medium
Phone,SecSoftware,Functionality,Site1,13,High
Email,IntranetDC1,Network,Site5,12,High
Phone,Browser,Software,Site4,11,Medium
Phone,Printer,Hardware,Site2,11,Critical
Email,VideoConf,Telecommunication,Site4,11,Medium
Email,Infrastructure,Software,Site1,11,Medium
Phone,Telecommunication,Functionality,Site4,11,Medium
Phone,Monitor,Software,Site2,11,Critical
Phone,Browser,Software,Site6,10,Medium
Phone,IntranetHO,Service,Site1,10,Medium
Phone,OSClient,Software,Site5,10,Medium
Phone,Printer,Service,Site34,10,Medium
Phone,Notebook,Hardware,Site5,10,Medium
Phone,ProcessingUnit,Service,Site4,10,High
Official Memo,Printer,Service,Site1,10,Medium
Phone,IntranetDC2,Network,Site1,10,Medium
Phone,IntranetHO,Functionality,Site4,9,Medium
Phone,AppIM,Software,Site2,9,Medium
Phone,Browser,Functionality,Site1,9,High
Phone,Printer,Service,Site1,9,Medium
Phone,Printer,Functionality,Site1,9,Medium
Phone,Mouse,Functionality,Site4,9,Medium
Phone,Infrastructure,Software,Site1,8,Critical
Phone,IntranetHO,Functionality,Site5,8,High
Phone,Infrastructure,Software,Site5,8,Medium
Phone,Printer,Service,Site1,8,Medium
Email,AppIM,Account,Site30,8,Medium
Phone,Notebook,Functionality,Site1,8,High
Phone,OSClient,Performance,Site4,8,Medium
Phone,Peripheral,Service,Site4,7,Medium
Phone,OSClient,Software,Site1,7,Medium
Phone,Printer,Service,Site5,7,Medium
Phone,Printer,Service,Site2,7,High
Phone,Peripheral,Service,Site5,17,Medium
Phone,Peripheral,Service,Site5,17,Medium
Phone,IPPhone,Telecommunication,Site2,16,High
Phone,AppIM,Service,Site1,16,High
Phone,IntranetDC2,Functionality,Site2,16,Medium
Phone,Printer,Service,Site5,16,High
Phone,Printer,Service,Site5,15,Medium
Phone,PCDesktop,Functionality,Site4,15,Medium
Phone,Monitor,Functionality,Site5,15,High
